service_id,date,exception_type
1,20161008,1
1,20161015,1
1,20161022,1
1,20161029,1
1,20161105,1
1,20161112,1
1,20161119,1
1,20161126,1
1,20161203,1
2,20161009,1
2,20161016,1
2,20161023,1
2,20161030,1
2,20161106,1
2,20161113,1
2,20161120,1
2,20161124,1
2,20161127,1
3,20161010,1
3,20161011,1
3,20161012,1
3,20161013,1
3,20161014,1
3,20161017,1
3,20161018,1
3,20161019,1
3,20161020,1
3,20161021,1
3,20161024,1
3,20161025,1
3,20161026,1
3,20161027,1
3,20161028,1
3,20161031,1
3,20161101,1
3,20161102,1
3,20161103,1
3,20161104,1
3,20161107,1
3,20161108,1
3,20161109,1
3,20161110,1
3,20161111,1
3,20161114,1
3,20161115,1
3,20161116,1
3,20161117,1
3,20161118,1
3,20161121,1
3,20161122,1
3,20161123,1
3,20161125,1
3,20161128,1
3,20161129,1
3,20161130,1
3,20161201,1
3,20161202,1
4,20161011,1
4,20161012,1
4,20161013,1
4,20161014,1
4,20161017,1
4,20161018,1
4,20161019,1
4,20161020,1
4,20161021,1
4,20161024,1
4,20161025,1
4,20161026,1
4,20161027,1
4,20161028,1
4,20161031,1
4,20161101,1
4,20161102,1
4,20161103,1
4,20161104,1
4,20161107,1
4,20161109,1
4,20161110,1
4,20161114,1
4,20161115,1
4,20161116,1
4,20161117,1
4,20161118,1
4,20161121,1
4,20161122,1
4,20161123,1
4,20161128,1
4,20161129,1
4,20161130,1
4,20161201,1
4,20161202,1
5,20161008,1
5,20161015,1
5,20161022,1
5,20161029,1
6,20161009,1
6,20161016,1
6,20161023,1
6,20161030,1
7,20161014,1
7,20161021,1
7,20161028,1
