route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,"MET","1","WILLIAM",3,"http://metro.nfta.com/Routes/route.aspx?rt=1",
101,"MET","101","NORTH-SOUTH",3,"http://metro.nfta.com/Routes/route.aspx?rt=101",
102,"MET","102","BAILEY",3,"http://metro.nfta.com/Routes/route.aspx?rt=102",
103,"MET","103","EAST-SUBURBAN",3,"http://metro.nfta.com/Routes/route.aspx?rt=103",
104,"MET","104","SOUTH-CENTRAL",3,"http://metro.nfta.com/Routes/route.aspx?rt=104",
106,"MET","106","SOUTH-SUBURBAN",3,"http://metro.nfta.com/Routes/route.aspx?rt=106",
11,"MET","11","COLVIN",3,"http://metro.nfta.com/Routes/route.aspx?rt=11",
110,"MET","110","WEST-NORTH",3,"http://metro.nfta.com/Routes/route.aspx?rt=110",
111,"MET","111","SOUTH MICHIGAN",3,"http://metro.nfta.com/Routes/route.aspx?rt=111",
112,"MET","112","GRANT-NORTH",3,"http://metro.nfta.com/Routes/route.aspx?rt=112",
12,"MET","12","UTICA",3,"http://metro.nfta.com/Routes/route.aspx?rt=12",
13,"MET","13","KENSINGTON",3,"http://metro.nfta.com/Routes/route.aspx?rt=13",
14,"MET","14","ABBOTT",3,"http://metro.nfta.com/Routes/route.aspx?rt=14",
145,"MET","","METRO RAIL",0,"http://metro.nfta.com/Routes/route.aspx?rt=145",
15,"MET","15","SENECA",3,"http://metro.nfta.com/Routes/route.aspx?rt=15",
155,"MET","","NIAGARA FALLS TROLLEY",3,"http://metro.nfta.com/Routes/route.aspx?rt=155",
16,"MET","16","SOUTH PARK",3,"http://metro.nfta.com/Routes/route.aspx?rt=16",
18,"MET","18","JEFFERSON",3,"http://metro.nfta.com/Routes/route.aspx?rt=18",
19,"MET","19","BAILEY",3,"http://metro.nfta.com/Routes/route.aspx?rt=19",
2,"MET","2","CLINTON",3,"http://metro.nfta.com/Routes/route.aspx?rt=2",
20,"MET","20","ELMWOOD",3,"http://metro.nfta.com/Routes/route.aspx?rt=20",
204,"MET","204","AIRPORT -DOWNTOWN EXPRESS",3,"http://metro.nfta.com/Routes/route.aspx?rt=204",
206,"MET","206","BUFFALO STATE CIRCULATOR",3,"http://metro.nfta.com/Routes/route.aspx?rt=206",
