stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
1,48050,"Sheridan Dr & Colvin Blvd",,42.980718,-78.858842,1,0
2,47950,"Sheridan Dr & Ashford Ave",,42.980740,-78.846582,1,0
3,47960,"Sheridan Dr & Ashford Ave",,42.980918,-78.846102,1,0
6,47990,"Sheridan Dr & Belmont Ave",,42.980729,-78.854812,1,0
7,48000,"Sheridan Dr & Belmont Ave",,42.980989,-78.852461,1,0
8,48020,"Sheridan Dr & Campus Dr",,42.978698,-78.787500,1,0
9,48180,"Sheridan Dr & Elmwood Ave",,42.980759,-78.879042,1,0
11,47900,"Sheridan Dr & Aquatic Center",,42.980989,-78.866260,1,0
12,48060,"Sheridan Dr & Colvin Blvd",,42.980978,-78.858222,1,0
13,48070,"Sheridan Dr & Delaware Ave",,42.980718,-78.872791,1,0
14,48080,"Sheridan Dr & Delaware Ave",,42.980989,-78.871770,1,0
15,48083,"Sheridan Dr & Delaware Ave",,42.980989,-78.872740,1,0
16,48090,"Sheridan Dr & Delaware Rd",,42.980718,-78.869180,1,0
17,48100,"Sheridan Dr & Delaware Rd",,42.980989,-78.868834,1,0
18,48130,"Sheridan Dr & Dunlop Plant",,42.967819,-78.919860,1,0
19,48820,"Sheridan Dr & Village Green",,42.978709,-78.747490,1,0
22,47690,"Seneca Creek Rd & Creekview Dr",,42.850780,-78.725241,1,0
23,47700,"Seneca Creek Rd & Creekview Dr",,42.850920,-78.724952,1,0
24,47730,"Seneca Creek Rd & Union Rd",,42.851278,-78.754403,1,0
25,47740,"Seneca Creek Rd & Union Rd",,42.851120,-78.753993,1,0
26,47771,"Senior Dr & Campus Dr",,43.137919,-79.037520,1,0
27,47781,"Senior Dr & Castellani Art Museum",,43.136689,-79.037161,1,0
28,47782,"University Dr & Dunleavy Hall",,43.138270,-79.037072,1,0
29,47783,"Senior Dr & Castellani Art Museum",,43.136908,-79.037442,1,0
30,47920,"1896 Sheridan Dr",,42.980989,-78.863672,1,0
31,47810,"Seymour St & Adam St",,43.019449,-78.880141,1,0
32,47910,"1885 Sheridan Dr",,42.980718,-78.864311,1,0
33,47830,"1186 Sheridan Dr",,42.980880,-78.889983,1,0
34,47840,"1197 Sheridan Dr",,42.980710,-78.889961,1,0
35,47850,"1380 Sheridan Dr",,42.981069,-78.883041,1,0
36,47860,"1421 Sheridan Dr",,42.980778,-78.881653,1,0
37,47870,"1434 Sheridan Dr",,42.981050,-78.880614,1,0
38,47880,"1574 Sheridan Dr",,42.981008,-78.875591,1,0
39,47890,"Sheridan Dr & Tops Plaza",,42.980989,-78.870531,1,0
40,48190,"Sheridan Dr & Elmwood Ave",,42.981028,-78.878250,1,0
42,48680,"Sheridan Dr & Sheridan-Parkside Dr",,42.980858,-78.892462,1,0
44,48510,"Sheridan Dr & Parker Blvd",,42.980658,-78.837822,1,0
45,48550,"Sheridan Dr & North Forest Rd",,42.978030,-78.767123,1,0
46,48560,"Sheridan Dr & North Forest Rd",,42.978208,-78.767522,1,0
47,48570,"Sheridan Dr & Niagara Falls Blvd",,42.980669,-78.823274,1,0
48,48600,"Sheridan Dr & Parker Blvd",,42.980869,-78.837303,1,0
49,48610,"Sheridan Dr & Parkhurst Blvd",,42.980669,-78.831293,1,0
50,48160,"Sheridan Dr & Dupont Plant",,42.968269,-78.919382,1,0
51,48650,"Sheridan Dr & River Rd",,42.966948,-78.921371,1,0
